NO.,HOSPITAL NAME,HOSPITAL ADDRESS,E-MAIL ADDRESS,TELEPHONE NO.,LONGITUDE,LATITUDE
17,"WELLNESS CENTRE, KPJ TAWAKKAL SPECIALIST HOSPITAL","LEVEL 6, WELLNESS CENTRE, KPJ TAWAKKAL KL SPECIALIST HOSPITALNO 1, JALAN PAHANG BARATKUALA LUMPUR53000WILAYAH PERSEKUTUAN KUALA LUMPUR",ktsh.wellness@kpjtawakkal.com,03-40267777,101.6986424,3.1769514
18,KUALA LUMPUR HOSPITAL,"JALAN PAHANG, 50586 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",pro.hkl@moh.gov.my,03-2615 5555,101.7025076,3.171803955
19,HOSPITAL CANSELOR TUANKU MUHRIZ UKM (HCTM),"JALAN YAACOB LATIF, BANDAR TUN RAZAK, 56000 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA ",prohukm@ppukm.ukm.edu.my,03-9145 5555,101.7253482,3.099577679
20,UNIVERSITY MALAYA SPECIALIST CENTRE (UMSC),"UMSC, LOT 28, LORONG UNIVERSITI, LEMBAH PANTAI, 50603 KUALA LUMPUR",enquiries@umsc.my,03-78414000,101.6507372,3.1164848
21,UNIVERSITY MALAYA MEDICAL CENTRE (UMMC),"JLN PROFESOR DIRAJA UNGKU AZIZ, 59100 KUALA LUMPUR",ummc@ummc.edu.my,03-79494422,101.6528046,3.113931612
22,IHEAL MEDICAL CENTRE,"LEVEL 7 & 8, ANNEXE BLOCK, MENARA IGB, LINGKARAN SYED PUTRA, MID VALLEY CITY, 59200 KUALA LUMPUR, FEDERAL TERRITORY OF KUALA LUMPUR",enquiry@ihealmedical.com,03-22877398,101.6773108,3.117874499
23,HOSPITAL ANGKATAN TENTERA TUANKU MIZAN,"42, JALAN 4/27A, WANGSA MAJU, 53300 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",N/A,03-41454200,101.7383304,3.209859198
24,HOSPITAL REHABILITASI CHERAS,"JALAN YAACOB LATIF, BANDAR TUN RAZAK, 56000 CHERAS, WILAYAH PERSEKUTUAN KUALA LUMPUR",hrc_info@moh.gov.my,03-91453400,101.7285966,3.105795838
25,GLOBAL DOCTORS HOSPITAL,"18, JLN KIARA 3, MONT KIARA, 50480 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",N/A,03-2303 9911,101.6483209,3.168798069
26,COLUMBIA ASIA HOSPITAL - SETAPAK,"NO. 1, JALAN DANAU SAUJANA, TAMAN DANAU KOTA, 53300 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",customercare.setapak@columbiaasia.com,03-4145 9999,101.7152958,3.240025651
27,PRINCE COURT MEDICAL CENTRE,"39, JALAN KIA PENG, KUALA LUMPUR, 50450 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",nquiries@princecourt.com,03-21600000,101.7219563,3.149141077
28,ALPS MEDICAL CENTRE,"MENARA SEE HOY CHAN, 02-03 AND 02-04, 374, JLN TUN RAZAK, 50400 KUALA LUMPUR, FEDERAL TERRITORY OF KUALA LUMPUR",ask@alpsmedical.com,03-21616133,101.7226739,3.156392557
29,GLENEAGLES KUALA LUMPUR,"BLOCK A & BLOCK B, 286 & 288, JLN AMPANG, KAMPUNG BEREMBANG, 50450 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",my.gkl.inquiry@parkwaypantai.com,03-41413000,101.7395767,3.161872433
30,LOURDES MEDICAL CENTRE,"244, JLN SULTAN AZLAN SHAH, JALAN IPOH, 51200 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",enquiries@lourdes.com.my,03-40425335,101.6912068,3.173201255
31,DAMAI SERVICE HOSPITAL (TAMAN MELAWATI) SDN. BHD.,"LOT 9132 – 9133, WISMA DAMAI, JALAN BANDAR 4, TAMAN MELAWATI, 53100 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",dahari@dsh.com.my,03-41089900,101.7520538,3.210834949
32,ROOPI MEDICAL CENTRE,"86, JALAN DATUK HAJI EUSOFF, TITIWANGSA SENTRAL, 50400 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",roopimedicalcentre@gmail.com,03-40423766,101.6957535,3.170424771
33,KPJ TAWAKKAL SPECIALIST HOSPITAL,"1, JALAN PAHANG BARAT, PEKELILING, 53000 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",tawakkal@kpjtawakkal.com,03-40267777,101.698637,3.177288839
34,SENTUL HOSPITAL,"631, JALAN SENTUL, SENTUL SELATAN, 51000 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",sentulmedical@live.com,03-40416962,101.6931142,3.178882676
35,PUDU SPECIALIST CENTRE,"22, JALAN BABA, PUDU, 55100 KUALA LUMPUR, WILAYAH PERSEKUTUAN KUALA LUMPUR",N/A,03-21480512,101.7105807,3.139733518
36,KPJ AMPANG PUTERI SPECIALIST HOSPITAL,"1, JLN MAMANDA 9, TAMAN DATO AHMAD RAZALI, 68000 AMPANG, SELANGOR",apsh@kpjampang.com,03-42895000,101.7517474,3.160394915
