NO.,CLINIC NAME,CLINIC ADDRESS,E-MAIL ADDRESS,TELEPHONE NO.,LONGITUDE,LATITUDE
42,IHEAL MEDICAL SERVICES SDN BHD,"LEVEL 7 & 8, ANNEXE BLOCK MENARA IGB MID VALLEY CITY. LINGKARAN SYED PUTRAKUALA LUMPUR59200WILAYAH PERSEKUTUAN KUALA LUMPUR",joanne.lau@ihealmedical.com,03-22877398,101.676303,3.1168095
43,IMU SPECIALIST CLINIC,"GROUND FLOOR, ANNEX BLOCK,INTERNATIONAL MEDICAL UNIVERSITY,NO. 126, JLAN JALIL PERKASA 19,KUALA LUMPUR57000WILAYAH PERSEKUTUAN KUALA LUMPUR",Healthcare_Finance@imu.edu.my,03-27317661,101.6871569,3.0597317
44,INTEGRAL OCCUPATIONAL HEALTH SERVICES SDN. BHD.,"LOT 2-05, LEVEL 2, MENARA HLXNO.3, JALAN KIA PENG,KUALA LUMPUR50450WILAYAH PERSEKUTUAN KUALA LUMPUR",drarchana@pluxhealth.com,0321712882,101.7137683,3.1520321
45,JOSE CLINIC AND SURGERY,81B-1 MEDAN BUNUS OFF JALAN MASJID INDIAKUALA LUMPURKUALA LUMPUR50100WILAYAH PERSEKUTUAN KUALA LUMPUR,dgejoe@gmail.com,0326985837,101.6978782,3.1525084
46,KELINIK MURUGASU,"29, JALAN TUN MOHD FUAD 3,TAMAN TUN DR ISMAILKUALA LUMPUR60000WILAYAH PERSEKUTUAN KUALA LUMPUR",mnada3700@gmail.com,03-77282879,101.6277728,3.1414738
47,KELINIK S.SUREN,21 AU 2A/17 TAMAN KERAMATKUALA LUMPUR54200WILAYAH PERSEKUTUAN KUALA LUMPUR,ssuren7@gmail.com,03-42579826,101.7508573,3.1723521
48,KELINIK SETIA,"37, JALAN TUN H. S. LEEKUALA LUMPUR50000WILAYAH PERSEKUTUAN KUALA LUMPUR",ksetiakl@unifi.my,03-20703491,101.6976035,3.1484626
49,KELINIK SETIA,"24, JALAN 2/21D, MEDAN IDAMANBATU 5, JALAN GOMBAKKUALA LUMPUR53100WILAYAH PERSEKUTUAN KUALA LUMPUR",baljitksra@hotmail.com,03-40224466,101.7053258,3.1973689
50,KFSU KLINIK FAMILI&SURGERI UTAMA,"NO.33,JALAN 16/155C,BANDAR BUKIT JALIL 57000BUKIT JALIL,KUALA LUMPURBUKIT JALIL57000WILAYAH PERSEKUTUAN KUALA LUMPUR",admin@utamamed.com,03-89991363,101.668059,3.0600711
51,KKELINIK JAYA,"205 JALAN NEGARA 2, TAMAN MELAWATIULU KLANG53100WILAYAH PERSEKUTUAN KUALA LUMPUR",umayaalv@yahoo.com,03-41077684,101.7501114,3.2090365
52,KL MEDICAL CLINIC,GROUND FLOOR LEVEL (500-0-6)WISMA INDAH JALAN TUN RAZAKKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR,clinic@klihc.com.my,0392269999,101.718448,3.133812
53,KLINIK & SURGERI GILL,"229, JALAN SENTUL, SENTUL PASARKUALA LUMPUR51000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikgill@unifi.my,03-40419948,101.6923616,3.1812366
54,KLINIK AHMAD-SHAN & SURGERI,"A-G-9,JALAN TAMAN SRI SENTOSA,TAMAN SRI SENTOSAKUALA LUMPUR58000WILAYAH PERSEKUTUAN KUALA LUMPUR",kashansentosa@gmail.com,03-77819905,101.6534801,3.0730223
55,KLINIK AISHAH,"33G,JLN TANJUNG SD 13/1,BANDAR SRI DAMANSARAK.LUMPUR52200WILAYAH PERSEKUTUAN KUALA LUMPUR",amaimunni@gmail.com,03-62720984,101.605676,3.187054
56,KLINIK AL IKHWAN,"NO 8,JALAN 30,TAMAN DATO SENU ,SENTULKUALA LUMPUR51000WILAYAH PERSEKUTUAN KUALA LUMPUR",dromarjan@gmail.com,03-40428516,101.6925293,3.1954108
57,KLINIK AL-FATIH WANGSA MELAWATI,"9-G, JALAN WANGSA MELAWATI 4,TAMAN WANGSA MELAWATIKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikalfatihwangsamelawati@gmail.com,0341311200,101.7473506,3.2027311
58,KLINIK ALAM MEDIC,"NO 24, JALAN  14/48A, SENTUL RAYA BOULEVARD,OFF JALAN SENTULKUALA LUMPUR51000WILAYAH PERSEKUTUAN KUALA LUMPUR",parimaladeviramesh@yahoo.com,03-40414768,101.6921581,3.184763
59,KLINIK ALAM MEDIC,"NO 5-G, JALAN PRIMA 1, PUSAT NIAGA METRO PRIMAKEPONG52100WILAYAH PERSEKUTUAN KUALA LUMPUR",lkhuei2000@yahoo.com,03-62578562,101.6407473,3.2132501
60,KLINIK ALAM MEDIC,"NO. 11, JALAN MEDAN MIDAH, TAMAN MIDAH, CHERASKL56000WILAYAH PERSEKUTUAN KUALA LUMPUR",kammidah@gmail.com,03-91340566,101.733566,3.102106
61,KLINIK ALAM MEDIC,"649-1, BATU 4, JALAN IPOH, KUALA LUMPURKUALA LUMPUR51200WILAYAH PERSEKUTUAN KUALA LUMPUR",hksra@hotmail.com,03-62582420,101.6776556,3.1941398
62,KLINIK ALAM MEDIC,"14, JALAN 46/26, TAMAN SRI RAMPAIKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR",Rachel_Julius96@yahoo.com,03-40220904,101.7321368,3.195964
63,KLINIK ALAM MEDIC,"KA 2-1-2, BLOCK 2, KUCHAI AVENUE,NO. 39, JALAN KUCHAI MAJU 13, KUCHAI ENTREPRENEURS' PARK,KUALA LUMPUR58200WILAYAH PERSEKUTUAN KUALA LUMPUR",drpushpa12345@gmail.com,03-79800294,101.6912875,3.0863628
64,KLINIK ALAM MEDIC,"NO 9, JALAN 3/125D, DESA PETALINGKUALA LUMPURKUALA LUMPUR57100WILAYAH PERSEKUTUAN KUALA LUMPUR",anandasundariddjps@hotmail.com,03-90541533,101.7049896,3.0826168
65,KLINIK ALAM MEDIC,"D3-3-30 & D3-1-30, NO 1, JALAN 1/152,TAMAN OUG PARKLANEOUG58200WILAYAH PERSEKUTUAN KUALA LUMPUR",kamoug.acctgdept@gmail.com,03-77732796,101.6579141,3.0684331
66,KLINIK ANDA,NO 42 A LORONG DATARAN WANGSADAYTARAN WANGSA MELAWATIWANGSA MELAWATI53300WILAYAH PERSEKUTUAN KUALA LUMPUR,klinik.anda.melawati@gmail.com,0341313771,101.7428597,3.2092417
67,KLINIK ANDA 24JAM,"NO 31G, JALAN SETIAWANGSA 9TAMAN SETIAWANGSAKUALA LUMPUR54200WILAYAH PERSEKUTUAN KUALA LUMPUR",mrszairi@gmail.com,0174886566,101.7378459,3.1802527
68,KLINIK ANTARABANGSA,"NO.18, JALAN WANGSA 2, BUKIT ANTARABANGSAAMPANG68000WILAYAH PERSEKUTUAN KUALA LUMPUR",drrafida@yahoo.com,03-41058142,101.7706909,3.191607
69,KLINIK ANTHONY,365-1 4TH MILE JALAN AMPANGK.L50450WILAYAH PERSEKUTUAN KUALA LUMPUR,cliant@streamyx.com,03-42572875,101.7142178,3.1590323
70,KLINIK AR MEDICARE,"B1-7, DATARAN NIAGA SG. BESI, MIDFIELDS SQUARE WEST,JALAN 11/108C, OFF LEBUHRAYA SG. BESI,SG. BESI57100WILAYAH PERSEKUTUAN KUALA LUMPUR",armedicare17@gmail.com,03-90440017,101.7233698,3.0445225
71,KLINIK AS-SALAM,NO. 16-GROUND FLOOR JALAN AU 5C/14 TAMAN LEMBAH KERAMATTAMAN LEMBAH KERAMAT54200WILAYAH PERSEKUTUAN KUALA LUMPUR,panel.salamkeramat@gmail.com,0133802969,101.6320193,3.1459638
72,KLINIK ASIA,"90, JALAN RAJA LAUTKUALA LUMPUR50350WILAYAH PERSEKUTUAN KUALA LUMPUR",jimmyteoh@hotmail.com,03-26927613,101.69606,3.1646846
73,KLINIK ASIA,"88A, JALAN ALOR,KUALA LUMPUR50200WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikasia@gmail.com,03-21425814,101.7091631,3.146294
74,KLINIK AZZAM,"NO 70, JALAN DANAU NIAGA 1PLAZA USAHAWAN GENTING KLANGKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR",klinik.azzam@gmail.com,03-41416636,101.7176531,3.2018533
75,KLINIK BAHAROM,758 JALAN SENTUL 51000 WP KUALA LUMPURSENTUL51000WILAYAH PERSEKUTUAN KUALA LUMPUR,klinikbaharom@yahoo.com,03-40502107,101.6924743,3.1783315
76,KLINIK BAKTI,"A-0-19, BLOK A SRI PENARA, JALAN SRI PERMAISURI 1,BANDAR SRI PERMAISURIKUALA LUMPUR56000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikbakticheras@gmail.com,03-91744604,101.7099875,3.0970157
77,KLINIK BAMZ HEALTHCARE,"NO.12A GROUND FLOOR, JALAN SRI JATI SATU,TAMAN SRI JATI, OFF JALAN PUCHONGKUALA LUMPUR58200WILAYAH PERSEKUTUAN KUALA LUMPUR",drbhamini88@bamzhealthcare.com,03-77822368,101.6634401,3.0773598
78,KLINIK BANDAR RAYA,"NO. 7, JALAN TELAWI 5, BANGSAR BARUKUALA LUMPURKUALA LUMPUR59100WILAYAH PERSEKUTUAN KUALA LUMPUR",docthina44@yahoo.com.sg,03-22844876,101.6703301,3.1338329
79,KLINIK BANGSAR SOUTH,"1-8 GROUND FLOOR CENTRIO, JALAN PANTAI MURNI, PANTAI HILLPARK, BANGSAR SOUTH59200KUALA LUMPUR59290WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikbangsarsouth@gmail.com,03-22419410,101.6662193,3.1074273
80,KLINIK BOON,"261, JALAN MAHKOTATAMAN MALURI, OFF JALAN CHERASKUALA LUMPUR55100WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikboonz@gmail.com,0392851853,101.7316811,3.1296828
81,KLINIK BRITAIN,"18,JALAN 34/154,TAMAN BUKIT ANGGERIKKUALA LUMPUR56000WILAYAH PERSEKUTUAN KUALA LUMPUR",drjonghu@gmail.com,03-91010943,101.7484522,3.0579479
82,"KLINIK CATTERALL, KHOO AND RAJA MALEK","LOBBY FLOOR, BANGUNAN MING,,JALAN BUKIT NANAS,KUALA LUMPUR50250WILAYAH PERSEKUTUAN KUALA LUMPUR",ckbm@qualitas.com.my,0320783200,101.7007466,3.1507819
83,"KLINIK CATTERALL, KHOO AND RAJA MALEK","SUITE 3B-3-6, LEVEL 3, BLOCK 3B,PLAZA SENTRAL, JALAN STESEN SENTRAL,KUALA LUMPUR50470WILAYAH PERSEKUTUAN KUALA LUMPUR",ckps@qualitas.com.my,0322730244,101.6849033,3.1322911
84,"KLINIK CATTERALL, KHOO AND RAJA MALEK","SUITE G.1B, GROUND FLOOR, WISMA FGVJALAN RAJA LAUTKUALA LUMPUR50350WILAYAH PERSEKUTUAN KUALA LUMPUR",ckws@qualitas.com.my,03-26937670,101.6949294,3.1617171
85,KLINIK CATTERALL. KHOO AND RAJA MALEK,"LOT 6B, LEVEL 2, GREAT EASTERN MALL,303, JALAN AMPANGKUALA LUMPUR50450WILAYAH PERSEKUTUAN KUALA LUMPUR",ckge@qualitas.com.my,03-42535949,101.7369013,3.1600725
86,KLINIK CENTRAL,"NO. 7 & 9, JALAN 6/40, TAMAN PUSAT KEPONGKEPONG52100WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikcentralkepong@gmail.com,03-62509119,101.6554309,3.2008
87,KLINIK CHAN & KHAW,"50-1, JALAN RADIN TENGAHBANDAR BARU SERI PETALINGKUALA LUMPUR57000WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikchankhaw@yahoo.com,03-90585816,101.6920161,3.0684181
88,KLINIK CHERAS BARU,"NO 19, JALAN BUNGA TANJUNG 7, TAMAN MUDA, CHERAS 56100 KUALA LUMPURCHERAS56100WILAYAH PERSEKUTUAN KUALA LUMPUR",rajavee60@yahoo.com.my,03-42913227,101.7595498,3.1199019
89,KLINIK CHEW,"3,JALAN METROWANGSA, SECTION 2,WANGSA MAJUKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikchew@gmail.com,03-41494590,101.7356789,3.2051683
90,KLINIK CHIN,"GROUND FLOOR, MENARA TAKAFUL, JLN SULEIMAN, 50000 KLKUALA LUMPUR50000WILAYAH PERSEKUTUAN KUALA LUMPUR",pcym@yahoo.com,0322736349,101.6971714,3.1425562
91,KLINIK CHIN,"52, JALAN 56, PERSIARAN MERGASTUA,KEPONG BARU,KUALA LUMPUR52100WILAYAH PERSEKUTUAN KUALA LUMPUR",klinikchin@gmail.com,03-62746469,101.6457371,3.2016111
92,KLINIK CHIN,"TING 9, WISMA HARWANT, 106, JLN TUANKU ABDUL RAHMAN, 50100 KLKUALA LUMPUR50100WILAYAH PERSEKUTUAN KUALA LUMPUR",pchinkul@gmail.com,03-26974868,101.6962898,3.15385
93,KLINIK CHIN CHEE YEONG,"NO.32A,JALAN 6/18A,TAMAN MASTIARA,BATU 5 1/2,OFF JALAN IPOH,KUALA LUMPUR51200WILAYAH PERSEKUTUAN KUALA LUMPUR",drchincheeyeong@yahoo.com,03-62413554,101.6738262,3.2111488
94,KLINIK CHONG & SINGH,45 JALAN 1/23 FTAMAN TERATAI MEWAHKUALA LUMPUR53000WILAYAH PERSEKUTUAN KUALA LUMPUR,klinikchongsingh@gmail.com,0340233163,101.7065779,3.2048808
95,KLINIK CITY,"31 TAMAN CITY, JALAN KUCHINGKUALA LUMPUR51200WILAYAH PERSEKUTUAN KUALA LUMPUR",massmarsinda@gmail.com,03-62515234,101.6692979,3.1966607
96,KLINIK DADDY,NO 21G JALAN MELATI UTAMA 4 MELATI UTAMASETAPAK53100WILAYAH PERSEKUTUAN KUALA LUMPUR,klinikdaddy@gmail.com,0341621188,101.7299692,3.2240765
97,KLINIK DAMAI PERDANA,"NO. 8, JALAN DAMAI PERDANA 1/9A, BANDAR DAMAI PERDANACHERAS56000WILAYAH PERSEKUTUAN KUALA LUMPUR",kckong5122@hotmail.com,0391056280,101.7407542,3.0505268
98,KLINIK DAN SURGERI JAS,"3/28A,JALAN UDANG SIAR,TAMAN SRI SEGAMBUT,KUALA LUMPUR52000WILAYAH PERSEKUTUAN KUALA LUMPUR",drtana_jas@yahoo.com,03-62573340,101.6586355,3.1973075
99,KLINIK DAN SURGERI MESRA SDN.BHD.,"46G,JALAN SETIAWANGSA 11A,TAMAN SETIAWANGSAKUALA LUMPUR54200WILAYAH PERSEKUTUAN KUALA LUMPUR",npkrish@hotmail.com,03-42652443,101.7430507,3.1777698
100,KLINIK DAN SURGERI MUDA BARU,"NO 59,JALAN BUNGA TANJUNG 6 A,TAMAN MUDA CHERASKUALA LUMPUR56100WILAYAH PERSEKUTUAN KUALA LUMPUR",ranaesha@ymail.com,03-42940897,101.760284,3.1210009
101,KLINIK DAN SURGERI NG,"BLOK A-G-5, PLAZA PRIMA SETAPAK,NO 35, JALAN PRIMA SETAPAK 5,KUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR",khng73@yahoo.com,03-40240398,101.7131456,3.1981178
102,KLINIK DAN SURGERI SRI DAMANSARA,"11G, JALAN CEMPAKA SD 12/1, BANDAR SRI DAMANSARAKUALA LUMPUR52200WILAYAH PERSEKUTUAN KUALA LUMPUR",kanniahruby54@gmail.com,03-62728364,101.6073247,3.1944259
103,KLINIK DAN SURGERI THONG,"90, JLAN TEBING TIMOR (EAST ROAD), JINJANG UTARAKEPONG52000WILAYAH PERSEKUTUAN KUALA LUMPUR",kdsthong@gmail.com,03-62507866,101.6624859,3.216963
104,KLINIK DAN SURGERI VAJRA MEDIK,1052 JALAN SENTUL PASARKUALA LUMPUR51000WILAYAH PERSEKUTUAN KUALA LUMPUR,vajramedik@yahoo.com,0340458535,101.6904188,3.1991058
105,KLINIK DANAU KOTA,"NO 22,JALAN 7/23E,TMN DANAU KOTA,SETAPAKKUALA LUMPUR53300WILAYAH PERSEKUTUAN KUALA LUMPUR",danaukotaklinik@yahoo.com,03-40311976,101.7197755,3.2074116
106,KLINIK DANAU KOTA,"LOT 2815,  BATU 6 1/2, JALAN GOMBAK, 53100 WP KUALA LUMPURKUALA LUMPUR53100WILAYAH PERSEKUTUAN KUALA LUMPUR",danaukota.clinic@gmail.com,0340100093,101.7147859,3.2255674
107,KLINIK DESA,"21,JLN 3/125D,DESA PETALINGKUALA LUMPUR57100WILAYAH PERSEKUTUAN KUALA LUMPUR",selva_27@live.com,03-90587623,101.70524,3.08281
108,KLINIK DESA SRI HARTAMAS,31 PLAZA CRYSTALVILLE 1 JALAN 23/70ADESA SRI HARTAMASKUALA LUMPUR50480WILAYAH PERSEKUTUAN KUALA LUMPUR,klinikdsh@gmail.com,03-62012202,101.746107,3.10715
